CustomerID,Total_Spend,Frequency,Total_Items,Unique_Products,Avg_Basket_Value,Churn
12346,77183.6,1,74215,1,77183.6,1
12347,2790.86,5,1590,82,558.172,0
12348,1437.24,4,2332,21,359.31,1
12350,294.4,1,196,16,294.4,1
12352,1154.01,6,401,45,192.335,0
12353,89.0,1,20,4,89.0,1
12354,1079.4,1,530,58,1079.4,1
12355,459.4,1,240,13,459.4,1
12356,2429.08,2,1568,52,1214.54,0
12358,404.86,1,98,11,404.86,0
12359,3495.73,3,965,135,1165.2433333333333,0
12360,1378.28,2,668,62,689.14,0
12361,174.9,1,90,9,174.9,1
12362,2352.34,5,1240,120,470.468,0
12363,552.0,2,408,23,276.0,1
12364,643.72,2,732,33,321.86,0
12365,320.69,1,173,21,320.69,1
12370,2682.66,3,1969,124,894.2199999999999,0
12372,1196.04,3,788,33,398.68,1
12373,324.6,1,196,13,324.6,1
12375,190.3,1,86,10,190.3,0
12377,1548.12,2,942,71,774.06,1
12378,4008.62,1,2529,219,4008.62,1
12379,777.24,2,402,38,388.62,1
12380,1134.56,2,577,51,567.28,0
12381,1028.74,1,562,61,1028.74,0
12383,1628.56,5,1518,83,325.712,1
12384,212.69,1,60,13,212.69,0
12386,401.9,2,354,10,200.95,1
12388,2494.26,5,1238,56,498.85200000000003,0
12390,504.84000000000003,1,350,31,504.84000000000003,1
12393,1582.6000000000001,4,816,47,395.65000000000003,1
12394,351.08,1,180,20,351.08,0
12395,1674.57,8,1615,64,209.32125,0
12397,1109.81,1,697,69,1109.81,0
12399,1033.65,4,1173,46,258.4125,1
12401,69.3,1,10,4,69.3,1
12402,195.6,1,92,10,195.6,1
12405,1390.39,1,849,53,1390.39,1
12406,1621.25,1,793,48,1621.25,0
12407,1242.3600000000001,4,1226,49,310.59000000000003,0
12408,1939.05,4,1031,66,484.7625,0
12409,11072.67,3,5551,91,3690.89,1
12410,533.33,2,207,25,266.665,1
12412,1142.88,3,824,42,380.96000000000004,1
12413,509.90000000000003,2,202,24,254.95000000000002,0
12414,442.41,3,297,15,147.47,1
12415,101737.88,14,66700,381,7266.9914285714285,0
12417,2483.52,7,1210,131,354.7885714285714,0
12418,668.58,1,407,34,668.58,1
12421,488.56,3,402,24,162.85333333333332,0
12422,683.5600000000001,3,367,38,227.85333333333335,1
12423,1440.67,7,1122,85,205.81,0
12424,1760.96,2,740,30,880.48,1
12425,777.2,1,496,36,777.2,1
12426,510.73,1,254,29,510.73,1
12427,249.5,1,76,9,249.5,0
12428,6076.92,7,3361,250,868.1314285714286,0
12429,2482.88,3,1026,61,827.6266666666667,0
12431,4732.07,11,2093,133,430.1881818181818,0
12432,3316.6600000000003,2,1426,74,1658.3300000000002,0
12433,6395.23,3,5431,151,2131.7433333333333,0
12434,806.14,2,394,46,403.07,1
12435,7829.89,2,2055,31,3914.945,1
12436,429.01000000000005,1,209,15,429.01000000000005,1
12437,2710.0099999999998,12,1952,65,225.83416666666665,0
12438,770.0699999999999,1,583,48,770.0699999999999,0
12441,155.55,1,120,10,155.55,1
12444,2829.81,3,819,106,943.27,0
12447,431.49,1,187,25,431.49,1
12449,2379.58,3,1006,83,793.1933333333333,0
12450,197.88,2,128,7,98.94,1
12451,5307.82,2,4105,162,2653.91,0
12453,707.09,1,473,43,707.09,1
12455,2339.86,5,2084,84,467.97200000000004,1
12456,1825.4,2,1062,76,912.7,0
12457,1846.88,5,802,52,369.37600000000003,0
12458,787.4,2,502,34,393.7,1
12461,626.88,1,282,34,626.88,1
12462,594.11,1,281,39,594.11,0
12463,877.79,3,571,50,292.59666666666664,0
12464,615.55,6,70,5,102.59166666666665,0
12465,410.94,1,292,25,410.94,0
12468,657.54,2,362,35,328.77,1
12471,10256.76,19,4626,114,539.8294736842105,0
12472,4549.6,5,3067,179,909.9200000000001,0
12473,1013.75,2,844,59,506.875,0
12474,3984.06,13,2777,152,306.4661538461538,0
12476,3149.27,7,1285,95,449.8957142857143,0
12477,8834.03,3,2518,156,2944.6766666666667,0
12480,1892.95,3,1082,96,630.9833333333333,0
12481,3671.2599999999998,8,2328,111,458.90749999999997,0
12483,1290.06,6,782,37,215.01,0
12484,3210.65,3,1841,221,1070.2166666666667,0
12488,553.39,1,169,21,553.39,0
12489,298.93,1,103,14,298.93,1
12490,3210.59,6,1991,101,535.0983333333334,0
12492,108.39000000000001,1,68,8,108.39000000000001,0
12493,415.74,2,206,19,207.87,1
12494,760.86,5,358,41,152.172,0
12497,953.1,1,1231,13,953.1,1
12500,1647.8400000000001,6,1263,19,274.64000000000004,0
12501,2025.39,1,1775,148,2025.39,1
12502,2995.87,5,794,101,599.174,1
12506,73.5,1,23,23,73.5,1
12507,1052.81,3,885,18,350.93666666666667,1
12509,158.5,1,54,6,158.5,1
12510,814.5699999999999,2,347,28,407.28499999999997,1
12513,558.29,1,459,34,558.29,1
12514,1017.68,1,440,51,1017.68,1
12515,278.7,1,128,15,278.7,1
12516,1186.06,2,868,19,593.03,1
12517,1812.65,3,1037,180,604.2166666666667,0
12518,759.73,2,477,45,379.865,0
12520,2346.2599999999998,5,1423,120,469.25199999999995,1
12521,545.68,1,306,37,545.68,1
12523,1052.13,8,618,55,131.51625,0
12524,2744.48,6,2269,91,457.41333333333336,0
12526,484.3,1,316,28,484.3,0
12527,330.71000000000004,3,233,17,110.23666666666668,1
12528,1089.3700000000001,4,492,45,272.34250000000003,0
12530,1095.65,3,593,38,365.2166666666667,0
12534,981.18,1,645,62,981.18,1
12535,716.35,2,219,28,358.175,1
12539,4517.69,3,1621,125,1505.8966666666665,0
12540,8983.99,13,5041,219,691.0761538461538,0
12541,480.14,2,417,26,240.07,0
12545,832.39,2,517,41,416.195,1
12546,676.2,1,472,44,676.2,0
12547,151.79999999999998,2,132,6,75.89999999999999,1
12548,67.19999999999999,1,48,4,67.19999999999999,1
12550,824.83,1,564,56,824.83,1
12551,168.0,1,100,10,168.0,1
12553,2113.59,7,1334,80,301.9414285714286,0
12556,308.75,1,163,60,308.75,0
12557,9000.960000000001,4,3464,15,2250.2400000000002,0
12559,525.71,2,281,20,262.855,1
12560,1292.31,1,812,76,1292.31,0
12561,238.85,1,177,16,238.85,1
12562,1777.8700000000001,4,995,63,444.46750000000003,0
12564,402.9,1,130,20,402.9,1
12565,145.92,1,80,9,145.92,1
12566,297.65,1,262,18,297.65,1
12567,7165.98,9,3495,270,796.2199999999999,0
12569,1645.68,15,828,47,109.712,0
12571,248.35,1,197,14,248.35,0
12573,160.54000000000002,1,84,26,160.54000000000002,1
12574,182.45000000000002,1,59,10,182.45000000000002,1
12576,936.55,4,665,54,234.1375,0
12577,195.89,1,134,67,195.89,0
12578,1412.66,1,741,69,1412.66,0
12579,386.42,1,282,28,386.42,1
12580,379.7,1,236,23,379.7,1
12582,351.36,2,296,20,175.68,1
12583,4395.01,10,3719,91,439.50100000000003,0
12584,978.3900000000001,5,183,31,195.67800000000003,0
12585,1824.1,2,1267,76,912.05,1
12589,113.5,1,82,9,113.5,0
12590,9341.26,1,4282,67,9341.26,1
12591,368.85,1,225,25,368.85,1
12592,401.6,2,288,10,200.8,1
12593,382.09999999999997,3,204,13,127.36666666666666,1
12594,2399.9,7,1435,45,342.84285714285716,0
12596,213.95,1,154,14,213.95,0
12597,1120.81,2,664,71,560.405,0
12598,1748.1399999999999,4,1248,53,437.03499999999997,0
12599,731.04,6,742,24,121.83999999999999,0
12600,1985.46,9,600,27,220.60666666666668,0
12601,487.06,5,240,20,97.412,1
12604,236.18,2,200,14,118.09,1
12609,964.85,3,639,56,321.6166666666667,1
12610,1104.25,2,620,67,552.125,0
12612,668.0400000000001,1,260,18,668.0400000000001,1
12613,1336.52,3,752,64,445.50666666666666,0
12614,315.6,1,76,20,315.6,1
12615,1103.39,2,745,51,551.695,0
12616,641.3,2,280,24,320.65,1
12619,2154.7,6,2382,35,359.1166666666666,0
12620,939.3199999999999,2,740,56,469.65999999999997,0
12621,10180.64,17,5789,210,598.8611764705882,0
12622,162.1,1,68,10,162.1,1
12623,269.1,1,189,17,269.1,1
12624,569.13,2,351,35,284.565,1
12625,2413.82,2,1597,72,1206.91,1
12626,4288.0,6,2310,169,714.6666666666666,0
12627,2493.83,4,1562,111,623.4575,0
12633,1732.75,3,1056,65,577.5833333333334,0
