CustomerID,Total_Spend,Frequency,Total_Items,Unique_Products,Avg_Basket_Value,LTV
12346,77183.6,1,74215,1,77183.6,0.0
12347,2790.86,5,1590,82,558.172,1519.14
12348,1437.24,4,2332,21,359.31,0.0
12350,294.4,1,196,16,294.4,0.0
12352,1154.01,6,401,45,192.335,231.73
12353,89.0,1,20,4,89.0,0.0
12354,1079.4,1,530,58,1079.4,0.0
12355,459.4,1,240,13,459.4,0.0
12356,2429.08,2,1568,52,1214.54,58.349999999999994
12358,404.86,1,98,11,404.86,523.2
12359,3495.73,3,965,135,1165.2433333333333,2814.3
12360,1378.28,2,668,62,689.14,923.78
12361,174.9,1,90,9,174.9,0.0
12362,2352.34,5,1240,120,470.468,2384.89
12363,552.0,2,408,23,276.0,0.0
12364,643.72,2,732,33,321.86,564.38
12365,320.69,1,173,21,320.69,0.0
12370,2682.66,3,1969,124,894.2199999999999,739.28
12372,1196.04,3,788,33,398.68,0.0
12373,324.6,1,196,13,324.6,0.0
12375,190.3,1,86,10,190.3,187.20000000000002
12377,1548.12,2,942,71,774.06,0.0
12378,4008.62,1,2529,219,4008.62,0.0
12379,777.24,2,402,38,388.62,0.0
12380,1134.56,2,577,51,567.28,1293.25
12381,1028.74,1,562,61,1028.74,446.07
12383,1628.56,5,1518,83,325.712,0.0
12384,212.69,1,60,13,212.69,212.58
12386,401.9,2,354,10,200.95,0.0
12388,2494.26,5,1238,56,498.85200000000003,286.4
12390,504.84000000000003,1,350,31,504.84000000000003,0.0
12393,1582.6000000000001,4,816,47,395.65000000000003,0.0
12394,351.08,1,180,20,351.08,729.4
12395,1674.57,8,1615,64,209.32125,1008.0600000000001
12397,1109.81,1,697,69,1109.81,1105.09
12399,1033.65,4,1173,46,258.4125,0.0
12401,69.3,1,10,4,69.3,0.0
12402,195.6,1,92,10,195.6,0.0
12405,1390.39,1,849,53,1390.39,0.0
12406,1621.25,1,793,48,1621.25,1794.05
12407,1242.3600000000001,4,1226,49,310.59000000000003,264.76
12408,1939.05,4,1031,66,484.7625,679.5
12409,11072.67,3,5551,91,3690.89,0.0
12410,533.33,2,207,25,266.665,0.0
