Date,Weekly_Sales
2010-11-29,184669.47
2010-12-06,329108.22000000003
2010-12-13,215357.04
2010-12-20,92318.0
2010-12-27,112873.86
2011-01-03,133429.72
2011-01-10,192991.95
2011-01-17,215227.01
2011-01-24,124534.22
2011-01-31,125847.36
2011-02-07,106893.22
2011-02-14,143354.21
2011-02-21,148404.19
2011-02-28,132503.55
2011-03-07,135076.46
2011-03-14,161082.62
2011-03-21,149292.66
2011-03-28,192398.08
2011-04-04,134211.44
2011-04-11,149357.401
2011-04-18,141530.36000000002
2011-04-25,86364.58
2011-05-02,146706.54
2011-05-09,211708.33
2011-05-16,215384.19
2011-05-23,165886.83
2011-05-30,118357.15
2011-06-06,219836.76
2011-06-13,189877.88
2011-06-20,135745.71
2011-06-27,138987.06
2011-07-04,177154.31
2011-07-11,136911.47
2011-07-18,202130.17
2011-07-25,182275.231
2011-08-01,170460.17
2011-08-08,179059.35
2011-08-15,175570.68
2011-08-22,164484.13
2011-08-29,153830.63
2011-09-05,191912.07
2011-09-12,229688.16
2011-09-19,338294.081
2011-09-26,211446.801
2011-10-03,319084.77
2011-10-10,228037.07
2011-10-17,275970.35
2011-10-24,259312.53
2011-10-31,300643.08
2011-11-07,368996.32
2011-11-14,387064.65
2011-11-21,315114.06
2011-11-28,323398.7
2011-12-05,503767.75
